StandID,Year,Species,Ags Ugs,DBH,TPA,Total Plots
N13,2021,318,AGS,30.5,62.84265924,21
N13,2021,318,AGS,30.5,62.84265924,21
N13,2021,371,AGS,35.9,45.35919472,21
N13,2021,315,UGS,20,146.1484594,21
N13,2021,318,AGS,20.3,141.8607191,21
N13,2021,318,AGS,24.5,97.39172637,21
N13,2021,531,UGS,24.4,98.19165505,21
N13,2021,371,AGS,23.9,102.3430678,21
N13,2021,371,AGS,18.7,167.1748799,21
N13,2021,371,AGS,25.4,90.61222604,21
N13,2021,371,AGS,25.9,87.1474542,21
N13,2021,371,AGS,21.9,121.889418,21
N13,2021,318,AGS,37.9,40.69825729,21
N13,2021,318,AGS,39.8,36.90524466,21
N13,2021,371,AGS,24.9,94.28780786,21
N13,2021,531,UGS,38,40.48433778,21
N13,2021,371,AGS,35.1,47.45041335,21
N13,2021,371,UGS,36.5,43.88019047,21
N13,2021,318,AGS,24.4,98.19165505,21
N13,2021,371,AGS,33.2,53.03689192,21
N13,2021,318,AGS,14.8,266.8890785,21
N13,2021,371,AGS,51.3,22.21362841,21
N13,2021,318,AGS,37.1,42.47236198,21
N13,2021,318,AGS,28.9,69.99363484,21
N13,2021,318,AGS,38.8,38.83209145,21
N13,2021,318,AGS,34.9,47.99581592,21
N13,2021,318,AGS,18.3,174.5629423,21
N13,2021,371,AGS,24.4,98.19165505,21
N13,2021,318,AGS,31.6,58.54368666,21
N13,2021,318,AGS,18.8,165.4011537,21
N13,2021,318,AGS,34.6,48.83172154,21
N13,2021,318,AGS,40.6,35.46517979,21
N13,2021,318,AGS,36.4,44.1216216,21
N13,2021,371,AGS,50.7,22.74250581,21
N13,2021,318,AGS,39.7,37.09139945,21
N13,2021,318,AGS,33.7,51.47477195,21
N13,2021,318,AGS,29.9,65.39007814,21
N13,2021,318,AGS,25.3,91.32994384,21
N13,2021,531,UGS,34.2,49.98066393,21
N13,2021,531,UGS,42.3,32.67183282,21
N13,2021,318,AGS,35,47.72194592,21
N13,2021,318,AGS,35,47.72194592,21
N13,2021,371,AGS,23.4,106.76343,21
N13,2021,318,AGS,33,53.68171144,21
N13,2021,318,AGS,47.6,25.80122509,21
N13,2021,371,AGS,46.6,26.92045523,21
N13,2021,318,AGS,6.1,1571.066481,21
N13,2021,371,AGS,29.4,67.63314331,21
N13,2021,531,UGS,35.3,46.91425479,21
N13,2021,318,UGS,25.7,88.50911256,21
N13,2021,371,UGS,67.4,12.86869299,21
N13,2021,318,UGS,57.9,17.43801735,21
N13,2021,371,AGS,33.4,52.40362128,21
N13,2021,761,UGS,12.2,392.7666202,21
N13,2021,97,AGS,36.1,44.857992,21
N13,2021,371,AGS,43.8,30.47235449,21
N13,2021,371,UGS,55.1,19.25533307,21
N13,2021,318,AGS,34.6,48.83172154,21
N13,2021,318,UGS,42,33.14024022,21
N13,2021,318,UGS,73.1,10.94005434,21
N13,2021,318,AGS,11.7,427.0537202,21
N13,2021,531,AGS,45.5,28.23783782,21
N13,2021,318,AGS,35.5,46.38713252,21
N13,2021,318,AGS,21,132.5609609,21
N13,2021,371,AGS,12.7,362.4489042,21
N13,2021,371,AGS,55.8,18.77525461,21
N13,2021,371,AGS,25.6,89.20194054,21
N13,2021,318,AGS,35.4,46.64957687,21
N13,2021,318,AGS,41.3,34.27315852,21
N13,2021,318,AGS,40,36.53711485,21
N13,2021,318,AGS,30.2,64.0973902,21
N13,2021,371,AGS,12.7,362.4489042,21
